Rosalind_2400 Rosalind_7698
Rosalind_6892 Rosalind_7493
Rosalind_4599 Rosalind_7493
Rosalind_0589 Rosalind_0227
Rosalind_4862 Rosalind_6448
Rosalind_2281 Rosalind_5950
Rosalind_9293 Rosalind_5950
Rosalind_2053 Rosalind_5950
Rosalind_5950 Rosalind_8360
Rosalind_6166 Rosalind_8360
Rosalind_1307 Rosalind_8360
Rosalind_2281 Rosalind_6166
Rosalind_9293 Rosalind_6166
Rosalind_2053 Rosalind_6166
Rosalind_7441 Rosalind_7665
Rosalind_4470 Rosalind_1464
Rosalind_8322 Rosalind_7338
Rosalind_1302 Rosalind_7338
Rosalind_8360 Rosalind_3866
Rosalind_0617 Rosalind_3866
Rosalind_2766 Rosalind_3866
Rosalind_6892 Rosalind_1364
Rosalind_4599 Rosalind_1364
Rosalind_0404 Rosalind_3017
Rosalind_7441 Rosalind_0213
Rosalind_6199 Rosalind_5812
Rosalind_7698 Rosalind_7964
Rosalind_3017 Rosalind_7964
Rosalind_3211 Rosalind_7964
Rosalind_4766 Rosalind_7964
Rosalind_8360 Rosalind_3096
Rosalind_0617 Rosalind_3096
Rosalind_2766 Rosalind_3096
Rosalind_1464 Rosalind_4662
Rosalind_9082 Rosalind_4662
Rosalind_8509 Rosalind_4662
Rosalind_7338 Rosalind_3352
Rosalind_8045 Rosalind_9432
Rosalind_4662 Rosalind_2281
Rosalind_4013 Rosalind_2281
Rosalind_2799 Rosalind_4862
Rosalind_4311 Rosalind_0158
Rosalind_5950 Rosalind_9082
Rosalind_6166 Rosalind_9082
Rosalind_1307 Rosalind_9082
Rosalind_7964 Rosalind_7697
Rosalind_1364 Rosalind_5095
Rosalind_0213 Rosalind_5095
Rosalind_6639 Rosalind_5095
Rosalind_8258 Rosalind_5095
Rosalind_9795 Rosalind_2721
Rosalind_3439 Rosalind_2721
Rosalind_3352 Rosalind_4077
Rosalind_9432 Rosalind_4077
Rosalind_5772 Rosalind_4077
Rosalind_9499 Rosalind_2433
Rosalind_7836 Rosalind_1556
Rosalind_8322 Rosalind_0404
Rosalind_1302 Rosalind_0404
Rosalind_4843 Rosalind_3750
Rosalind_1364 Rosalind_4311
Rosalind_0213 Rosalind_4311
Rosalind_6639 Rosalind_4311
Rosalind_8258 Rosalind_4311
Rosalind_2721 Rosalind_1398
Rosalind_7493 Rosalind_7651
Rosalind_3750 Rosalind_7651
Rosalind_1398 Rosalind_7651
Rosalind_0028 Rosalind_7651
Rosalind_8407 Rosalind_7651
Rosalind_7338 Rosalind_7836
Rosalind_4662 Rosalind_6956
Rosalind_4013 Rosalind_6956
Rosalind_6327 Rosalind_7520
Rosalind_1332 Rosalind_5578
Rosalind_7617 Rosalind_5578
Rosalind_4699 Rosalind_5578
Rosalind_2705 Rosalind_8322
Rosalind_7651 Rosalind_8322
Rosalind_8054 Rosalind_8322
Rosalind_2529 Rosalind_8322
Rosalind_2281 Rosalind_4155
Rosalind_9293 Rosalind_4155
Rosalind_2053 Rosalind_4155
Rosalind_9499 Rosalind_5699
Rosalind_2281 Rosalind_1307
Rosalind_9293 Rosalind_1307
Rosalind_2053 Rosalind_1307
Rosalind_4662 Rosalind_9795
Rosalind_4013 Rosalind_9795
Rosalind_5095 Rosalind_4131
Rosalind_7748 Rosalind_4131
Rosalind_5436 Rosalind_9293
Rosalind_5950 Rosalind_7441
Rosalind_6166 Rosalind_7441
Rosalind_1307 Rosalind_7441
Rosalind_0404 Rosalind_9377
Rosalind_7338 Rosalind_8054
Rosalind_7964 Rosalind_2237
Rosalind_7665 Rosalind_2053
Rosalind_4155 Rosalind_3439
Rosalind_7836 Rosalind_7856
Rosalind_2433 Rosalind_4043
Rosalind_5436 Rosalind_8695
Rosalind_2237 Rosalind_5772
Rosalind_5095 Rosalind_6639
Rosalind_7748 Rosalind_6639
Rosalind_4843 Rosalind_6867
Rosalind_4155 Rosalind_9499
Rosalind_8520 Rosalind_8331
Rosalind_2433 Rosalind_3697
Rosalind_4311 Rosalind_3211
Rosalind_4470 Rosalind_4699
Rosalind_1524 Rosalind_2369
Rosalind_0158 Rosalind_2369
Rosalind_9377 Rosalind_2369
Rosalind_7849 Rosalind_2369
Rosalind_7698 Rosalind_4470
Rosalind_3017 Rosalind_4470
Rosalind_3211 Rosalind_4470
Rosalind_4766 Rosalind_4470
Rosalind_4155 Rosalind_1302
Rosalind_5699 Rosalind_0589
Rosalind_4662 Rosalind_8045
Rosalind_4013 Rosalind_8045
Rosalind_8322 Rosalind_6877
Rosalind_1302 Rosalind_6877
Rosalind_1332 Rosalind_4599
Rosalind_7617 Rosalind_4599
Rosalind_4699 Rosalind_4599
Rosalind_0589 Rosalind_9089
Rosalind_8520 Rosalind_4762
Rosalind_5699 Rosalind_8407
Rosalind_7520 Rosalind_2400
Rosalind_2369 Rosalind_2400
Rosalind_4662 Rosalind_5436
Rosalind_4013 Rosalind_5436
Rosalind_2508 Rosalind_4843
Rosalind_4555 Rosalind_4843
Rosalind_2237 Rosalind_8509
